date,channel,campaign,device,region,customer_segment,funnel_stage,impressions,clicks,sessions,conversions,revenue,cost,conversion_rate,roas
2026-04-01,Paid Search,Spring Launch,Desktop,North America,Enterprise,awareness,19665,1372,2555,127,4673.17,1425.53,0.093,3.28
2026-04-01,Paid Search,Brand Defense,Desktop,North America,SMB,consideration,14260,968,2019,95,3653.1,1273.32,0.098,2.87
2026-04-01,Organic Search,Evergreen,Desktop,Europe,Consumer,consideration,11610,826,1627,71,2778.12,405.66,0.086,6.85
2026-04-01,Paid Social,Social Burst,Mobile,North America,Consumer,awareness,15774,1043,1905,54,3094.8,1691.19,0.052,1.83
2026-04-01,Paid Social,Lookalike,Mobile,Europe,SMB,awareness,13056,827,1546,58,2538.09,1384.44,0.07,1.83
2026-04-01,Email,Remarketing,Desktop,APAC,Enterprise,conversion,6849,606,1307,118,4826.51,395.43,0.195,12.21
2026-04-01,Display,Awareness Burst,Tablet,APAC,Consumer,awareness,21163,526,994,33,1550.09,915.04,0.063,1.69
2026-04-02,paid search,Spring Launch,desktop,North America,Enterprise,awareness,20369,1421,2636,132,5078.34,1513.37,0.093,3.36
2026-04-02,Paid Search,Brand Defense,Desktop,North America,SMB,consideration,14258,968,2024,96,3686.54,1283.58,0.099,2.87
2026-04-02,Organic Search,Evergreen,Desktop,Europe,Consumer,consideration,11238,797,1589,70,2682.32,389.56,0.088,6.89
2026-04-02,Paid Social,Social Burst,Mobile,North America,Consumer,awareness,14949,985,1833,53,2894.57,1584.9,0.054,1.83
2026-04-02,Paid Social,Lookalike,Mobile,Europe,SMB,awareness,12366,780,1488,56,2361.84,1296.53,0.072,1.82
2026-04-02,Email,Remarketing,Desktop,APAC,Enterprise,conversion,6620,583,1279,118,4601.78,379.09,0.202,12.14
2026-04-02,Display,Awareness Burst,Tablet,APAC,Consumer,awareness,20920,520,992,33,1535.36,909.68,0.063,1.69
2026-04-03,Paid Search,Spring Launch,Desktop,North America,Enterprise,awareness,20649,1438,2672,135,5346.13,1564.77,0.094,3.42
2026-04-03,Paid Search,Brand Defense,Desktop,North America,SMB,consideration,13911,942,1989,96,3601.13,1257.6,0.102,2.86
2026-04-03,Organic Search,Evergreen,Desktop,Europe,Consumer,consideration,10681,754,1530,68,,365.9,0.09,
